kode,grup,prodi,tot_hadir,semester,th_ajaran
AK0073,A,12,14,GENAP,2013/2014
AK1023,A,12,14,GENAP,2013/2014
AK1033,A,12,13,GENAP,2013/2014
AK1043,A,11,1,GENAP,2013/2014
AK1043,A,12,14,GENAP,2013/2014
AK2013,A,12,14,GENAP,2013/2014
AK2023,A,12,14,GENAP,2013/2014
AK3013,A,12,12,GENAP,2013/2014
AK4013,A,12,14,GENAP,2013/2014
AK4023,A,12,14,GENAP,2013/2014
AP1012,A,12,14,GENAP,2013/2014
AP1012,B,12,14,GENAP,2013/2014
AP1042,A,12,17,GENAP,2013/2014
AP1053,A,12,13,GENAP,2013/2014
AP1064,A,12,14,GENAP,2013/2014
AU1053,A,12,14,GENAP,2013/2014
AU1053,B,12,14,GENAP,2013/2014
AU2016,A,12,25,GENAP,2013/2014
AU2026,A,12,28,GENAP,2013/2014
AU2043,A,12,14,GENAP,2013/2014
AU2043,B,12,15,GENAP,2013/2014
AU2056,A,12,27,GENAP,2013/2014
AU2056,B,12,26,GENAP,2013/2014
AU2066,A,01,1,GENAP,2013/2014
AU2066,A,12,19,GENAP,2013/2014
AU2073,A,12,13,GENAP,2013/2014
AU2073,B,12,13,GENAP,2013/2014
AU2093,A,12,13,GENAP,2013/2014
AU2103,A,12,14,GENAP,2013/2014
AU2113,A,12,14,GENAP,2013/2014
AU2125,A,12,24,GENAP,2013/2014
AU2133,A,12,12,GENAP,2013/2014
AU2156,A,12,27,GENAP,2013/2014
BT1016,A,31,15,GENAP,2013/2014
BT1064,A,31,15,GENAP,2013/2014
BT1074,A,31,18,GENAP,2013/2014
BT1074,B,31,18,GENAP,2013/2014
BT1083,A,31,14,GENAP,2013/2014
BT2014,A,31,14,GENAP,2013/2014
BT2024,A,31,17,GENAP,2013/2014
BT2033,A,31,16,GENAP,2013/2014
BT2044,A,31,18,GENAP,2013/2014
BT2053,A,31,14,GENAP,2013/2014
BT2114,A,31,14,GENAP,2013/2014
BT2124,A,31,12,GENAP,2013/2014
BT2133,A,31,14,GENAP,2013/2014
BT2144,A,31,15,GENAP,2013/2014
BT2153,A,31,14,GENAP,2013/2014
BT4203,A,31,15,GENAP,2013/2014
BT4303,A,31,14,GENAP,2013/2014
MH1013,A,99,14,GENAP,2013/2014
MH1033,A,99,14,GENAP,2013/2014
MH1033,B,99,14,GENAP,2013/2014
MH1033,C,99,14,GENAP,2013/2014
MH1033,E,99,14,GENAP,2013/2014
MH1033,H,99,15,GENAP,2013/2014
MH1043,A,99,16,GENAP,2013/2014
MH1043,B,99,13,GENAP,2013/2014
MH1053,A,99,13,GENAP,2013/2014
MH1053,B,99,13,GENAP,2013/2014
MH1053,C,99,13,GENAP,2013/2014
MH1053,D,99,13,GENAP,2013/2014
MH1053,E,99,13,GENAP,2013/2014
MH1063,A,99,12,GENAP,2013/2014
MH1063,B,99,12,GENAP,2013/2014
MH1063,D,99,13,GENAP,2013/2014
MH1063,E,99,12,GENAP,2013/2014
MH1063,F,99,12,GENAP,2013/2014
MH1063,G,99,12,GENAP,2013/2014
MH1063,H,99,12,GENAP,2013/2014
MH2012,A,99,12,GENAP,2013/2014
MH2013,A,99,14,GENAP,2013/2014
MH2023,A,99,14,GENAP,2013/2014
MH2023,B,99,14,GENAP,2013/2014
MH2033,A,99,14,GENAP,2013/2014
MH2033,B,99,14,GENAP,2013/2014
MH2042,A,99,14,GENAP,2013/2014
MH2042,B,99,14,GENAP,2013/2014
MH2043,B,99,10,GENAP,2013/2014
MH2053,A,99,8,GENAP,2013/2014
MH2053,B,99,8,GENAP,2013/2014
MH3013,D,99,14,GENAP,2013/2014
MH5013,B,99,10,GENAP,2013/2014
MH5023,A,99,14,GENAP,2013/2014
MH5033,A,99,12,GENAP,2013/2014
MH5053,A,99,8,GENAP,2013/2014
MH5053,B,99,8,GENAP,2013/2014
MK1023,A,11,15,GENAP,2013/2014
MK1033,A,11,14,GENAP,2013/2014
MK1033,B,11,12,GENAP,2013/2014
MK1043,A,11,14,GENAP,2013/2014
MK1053,A,11,14,GENAP,2013/2014
MK1113,A,11,12,GENAP,2013/2014
MK1123,A,11,15,GENAP,2013/2014
MK1143,A,11,14,GENAP,2013/2014
MK1153,A,11,13,GENAP,2013/2014
MK1172,A,11,15,GENAP,2013/2014
MK1193,A,11,16,GENAP,2013/2014
MK1193,B,11,14,GENAP,2013/2014
MK1193,C,11,16,GENAP,2013/2014
MP1043,A,11,14,GENAP,2013/2014
MP1053,A,11,14,GENAP,2013/2014
MP1063,A,11,15,GENAP,2013/2014
MP1063,B,11,14,GENAP,2013/2014
MP1073,A,11,14,GENAP,2013/2014
MP1093,A,11,13,GENAP,2013/2014
MP1093,B,11,14,GENAP,2013/2014
MP1103,A,11,15,GENAP,2013/2014
MP1103,B,11,15,GENAP,2013/2014
MP1123,A,11,13,GENAP,2013/2014
MP1133,A,11,13,GENAP,2013/2014
MP1143,A,11,14,GENAP,2013/2014
MP1173,A,11,13,GENAP,2013/2014
MP1183,A,11,15,GENAP,2013/2014
MP1193,A,11,14,GENAP,2013/2014
MP1203,A,11,13,GENAP,2013/2014
MP1203,B,11,13,GENAP,2013/2014
MP1212,B,11,13,GENAP,2013/2014
MU1043,A,11,14,GENAP,2013/2014
MU1113,B,11,14,GENAP,2013/2014
MU1113,C,11,13,GENAP,2013/2014
MU1203,A,11,15,GENAP,2013/2014
MU1203,B,11,16,GENAP,2013/2014
MU1203,C,11,16,GENAP,2013/2014
MU1245,A,11,28,GENAP,2013/2014
MU1245,B,11,28,GENAP,2013/2014
MU1245,C,11,28,GENAP,2013/2014
MU1253,A,11,14,GENAP,2013/2014
MU1266,A,11,25,GENAP,2013/2014
MU1266,B,11,23,GENAP,2013/2014
MU1266,C,11,24,GENAP,2013/2014
MU1276,A,11,28,GENAP,2013/2014
MU1306,A,11,28,GENAP,2013/2014
MU1306,B,11,26,GENAP,2013/2014
MU1306,C,11,28,GENAP,2013/2014
PB1032,A,11,15,GENAP,2013/2014
PB1032,B,11,14,GENAP,2013/2014
PB1042,A,11,15,GENAP,2013/2014
PB1053,A,11,13,GENAP,2013/2014
PB1053,B,11,14,GENAP,2013/2014
PB1063,A,11,14,GENAP,2013/2014
PB1073,A,11,14,GENAP,2013/2014
PB1083,A,11,15,GENAP,2013/2014
PB5033,A,PA,13,GENAP,2013/2014
PB5033,B,PA,14,GENAP,2013/2014
PB5043,B,PA,14,GENAP,2013/2014
PB5043,C,PA,14,GENAP,2013/2014
PB5053,A,PA,14,GENAP,2013/2014
PD1023,A,24,13,GENAP,2013/2014
PD2054,A,24,24,GENAP,2013/2014
PD2074,A,24,12,GENAP,2013/2014
PD2083,A,24,13,GENAP,2013/2014
PD2093,A,24,14,GENAP,2013/2014
PD4166,A,24,27,GENAP,2013/2014
PD4173,A,24,13,GENAP,2013/2014
PD4183,A,24,13,GENAP,2013/2014
PD4193,A,24,12,GENAP,2013/2014
PD4203,A,24,15,GENAP,2013/2014
PD4213,A,24,12,GENAP,2013/2014
PD4483,A,24,13,GENAP,2013/2014
PD5273,A,24,13,GENAP,2013/2014
PD6296,A,24,27,GENAP,2013/2014
PD6303,A,24,12,GENAP,2013/2014
PD6313,A,24,13,GENAP,2013/2014
PD6323,A,24,11,GENAP,2013/2014
PD7333,A,24,13,GENAP,2013/2014
SB2016,A,23,28,GENAP,2013/2014
SB3016,A,23,28,GENAP,2013/2014
SI1043,A,23,14,GENAP,2013/2014
SI1043,B,23,14,GENAP,2013/2014
SI1056,A,23,28,GENAP,2013/2014
SI1056,B,23,28,GENAP,2013/2014
SI1063,A,23,14,GENAP,2013/2014
SI1076,A,23,28,GENAP,2013/2014
SI2046,A,01,1,GENAP,2013/2014
SI2046,A,23,30,GENAP,2013/2014
SI2046,B,23,30,GENAP,2013/2014
SI2053,A,23,14,GENAP,2013/2014
SI2053,B,23,14,GENAP,2013/2014
SI2063,A,23,13,GENAP,2013/2014
SI2063,B,23,12,GENAP,2013/2014
SI2073,A,23,14,GENAP,2013/2014
SI2073,B,23,14,GENAP,2013/2014
SI3033,A,23,14,GENAP,2013/2014
SI3043,A,23,14,GENAP,2013/2014
SI3043,B,23,14,GENAP,2013/2014
SI3053,A,23,14,GENAP,2013/2014
SI4033,A,23,12,GENAP,2013/2014
SI5103,A,23,14,GENAP,2013/2014
SI5293,A,23,14,GENAP,2013/2014
SI5303,A,23,14,GENAP,2013/2014
SI5393,A,23,13,GENAP,2013/2014
SI5403,A,23,1,GENAP,2013/2014
SM2016,A,23,30,GENAP,2013/2014
TA2053,A,21,13,GENAP,2013/2014
TA2063,A,21,15,GENAP,2013/2014
TA2073,A,21,14,GENAP,2013/2014
TA2086,A,21,26,GENAP,2013/2014
TA2094,A,21,26,GENAP,2013/2014
TA4143,A,21,14,GENAP,2013/2014
TA4153,A,21,14,GENAP,2013/2014
TA4163,A,21,16,GENAP,2013/2014
TA4176,A,21,26,GENAP,2013/2014
TA4184,A,21,26,GENAP,2013/2014
TA5343,A,21,14,GENAP,2013/2014
TA5363,A,21,13,GENAP,2013/2014
TA5413,A,21,17,GENAP,2013/2014
TA5473,A,21,11,GENAP,2013/2014
TA6233,A,21,13,GENAP,2013/2014
TA6243,A,21,16,GENAP,2013/2014
TA6266,A,21,26,GENAP,2013/2014
TA7274,A,21,47,GENAP,2013/2014
TA7283,A,21,15,GENAP,2013/2014
TA7296,A,21,48,GENAP,2013/2014
TE1004,A,01,25,GENAP,2013/2014
TE1103,A,01,11,GENAP,2013/2014
TE1123,A,01,25,GENAP,2013/2014
TE1204,A,01,29,GENAP,2013/2014
TE1214,A,01,28,GENAP,2013/2014
TE1214,A,59,26,GENAP,2013/2014
TE1242,A,01,15,GENAP,2013/2014
TE1242,A,23,1,GENAP,2013/2014
TE1244,A,01,25,GENAP,2013/2014
TE1244,A,59,26,GENAP,2013/2014
TE1252,A,01,16,GENAP,2013/2014
TE1254,A,01,29,GENAP,2013/2014
TE1254,A,59,29,GENAP,2013/2014
TE1312,A,01,14,GENAP,2013/2014
TE1322,A,01,14,GENAP,2013/2014
TE1602,A,01,14,GENAP,2013/2014
TE2004,A,01,27,GENAP,2013/2014
TE2004,B,01,26,GENAP,2013/2014
TE2203,A,01,13,GENAP,2013/2014
TE2203,A,52,13,GENAP,2013/2014
TE2272,A,01,16,GENAP,2013/2014
TE2272,B,01,15,GENAP,2013/2014
TE2283,A,01,13,GENAP,2013/2014
TE2283,B,01,15,GENAP,2013/2014
TE2293,A,01,26,GENAP,2013/2014
TE2363,A,01,14,GENAP,2013/2014
TE2363,A,59,14,GENAP,2013/2014
TE2383,A,01,14,GENAP,2013/2014
TE2413,A,01,14,GENAP,2013/2014
TE2602,A,01,15,GENAP,2013/2014
TE2612,A,01,13,GENAP,2013/2014
TE2622,A,01,14,GENAP,2013/2014
TE3303,A,01,29,GENAP,2013/2014
TE3303,A,59,30,GENAP,2013/2014
TE3324,A,01,27,GENAP,2013/2014
TE3324,A,59,28,GENAP,2013/2014
TE3371,A,01,14,GENAP,2013/2014
TE3372,A,01,13,GENAP,2013/2014
TE3372,A,52,15,GENAP,2013/2014
TE3372,B,01,13,GENAP,2013/2014
TE3382,A,01,14,GENAP,2013/2014
TE3382,A,52,12,GENAP,2013/2014
TE3533,A,01,20,GENAP,2013/2014
TE3543,A,01,21,GENAP,2013/2014
TE3553,A,01,13,GENAP,2013/2014
TE3682,A,01,15,GENAP,2013/2014
TE3722,A,01,14,GENAP,2013/2014
TE4333,A,01,14,GENAP,2013/2014
TE4433,A,01,14,GENAP,2013/2014
TE4482,A,01,13,GENAP,2013/2014
TE4522,A,01,13,GENAP,2013/2014
TE4573,A,01,14,GENAP,2013/2014
TE4612,A,01,15,GENAP,2013/2014
TE4672,A,01,14,GENAP,2013/2014
TIP033,A,22,14,GENAP,2013/2014
TIP053,A,22,14,GENAP,2013/2014
TIP063,A,22,1,GENAP,2013/2014
TIP093,A,22,5,GENAP,2013/2014
TIP093,B,22,5,GENAP,2013/2014
TIP103,A,22,14,GENAP,2013/2014
TIP153,A,22,14,GENAP,2013/2014
TIP163,A,22,12,GENAP,2013/2014
TIP173,A,22,13,GENAP,2013/2014
TIP183,A,22,12,GENAP,2013/2014
TIP193,A,22,10,GENAP,2013/2014
TIP213,A,22,13,GENAP,2013/2014
TIP213,B,22,13,GENAP,2013/2014
TIP223,A,22,10,GENAP,2013/2014
TIP233,A,22,13,GENAP,2013/2014
TIP243,A,22,13,GENAP,2013/2014
TIP253,A,22,13,GENAP,2013/2014
TIP283,A,22,14,GENAP,2013/2014
TIP293,A,22,13,GENAP,2013/2014
TIP343,A,22,12,GENAP,2013/2014
TIP344,A,22,14,GENAP,2013/2014
TIP363,A,22,14,GENAP,2013/2014
TIP363,B,22,14,GENAP,2013/2014
TIP373,A,22,14,GENAP,2013/2014
TIP383,A,22,13,GENAP,2013/2014
TIW015,A,22,27,GENAP,2013/2014
TIW023,A,22,14,GENAP,2013/2014
TIW043,A,22,15,GENAP,2013/2014
TIW043,B,22,13,GENAP,2013/2014
TIW053,A,22,14,GENAP,2013/2014
TIW053,B,22,14,GENAP,2013/2014
TIW053,C,22,13,GENAP,2013/2014
TIW053,D,22,13,GENAP,2013/2014
TIW063,A,22,13,GENAP,2013/2014
TIW063,B,22,13,GENAP,2013/2014
TIW063,C,22,12,GENAP,2013/2014
TIW063,D,22,12,GENAP,2013/2014
TIW073,A,22,14,GENAP,2013/2014
TIW083,A,22,14,GENAP,2013/2014
TIW083,B,22,14,GENAP,2013/2014
TIW083,C,22,14,GENAP,2013/2014
TIW093,A,22,14,GENAP,2013/2014
TIW093,B,22,14,GENAP,2013/2014
TIW093,C,22,15,GENAP,2013/2014
TIW093,D,22,14,GENAP,2013/2014
TIW103,A,22,14,GENAP,2013/2014
TIW103,B,22,14,GENAP,2013/2014
TIW113,A,22,14,GENAP,2013/2014
TIW123,A,22,11,GENAP,2013/2014
TIW123,B,22,10,GENAP,2013/2014
TIW123,C,22,14,GENAP,2013/2014
TIW123,D,22,14,GENAP,2013/2014
TIW133,A,22,13,GENAP,2013/2014
TIW153,A,22,14,GENAP,2013/2014
TIW163,A,22,14,GENAP,2013/2014
TIW163,B,22,14,GENAP,2013/2014
TIW163,C,22,14,GENAP,2013/2014
TIW163,D,22,14,GENAP,2013/2014
TIW173,A,22,14,GENAP,2013/2014
TIW173,B,22,14,GENAP,2013/2014
TIW173,C,22,13,GENAP,2013/2014
TIW173,D,22,13,GENAP,2013/2014
TIW183,A,22,13,GENAP,2013/2014
TIW183,B,22,13,GENAP,2013/2014
TIW183,C,22,14,GENAP,2013/2014
TIW183,D,22,14,GENAP,2013/2014
TIW192,A,22,13,GENAP,2013/2014
TIW192,B,22,14,GENAP,2013/2014
TIW192,C,22,13,GENAP,2013/2014
TIW203,A,22,14,GENAP,2013/2014
TIW203,B,22,14,GENAP,2013/2014
TIW203,C,22,14,GENAP,2013/2014
TIW203,D,22,14,GENAP,2013/2014
TIW243,A,22,13,GENAP,2013/2014
TIW243,B,22,13,GENAP,2013/2014
TIW243,C,22,14,GENAP,2013/2014
TIW243,D,22,14,GENAP,2013/2014
TIW253,A,22,12,GENAP,2013/2014
TIW253,B,22,10,GENAP,2013/2014
TIW253,C,22,15,GENAP,2013/2014
TIW253,D,22,12,GENAP,2013/2014
TJ3023,A,22,12,GENAP,2013/2014
TJ3033,A,22,13,GENAP,2013/2014
TK3033,A,22,12,GENAP,2013/2014
TK3033,B,22,14,GENAP,2013/2014